ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,ORDER_YEAR,ORDER_MONTH,ORDER_MONTH_YEAR,SALES_LAG1,SALES_ROLLING_7D,PRODUCTLINE_ENCODED,DEALSIZE_ENCODED,PROFIT
10101,45,31.2,3,1404.0,2003-01-09,Shipped,1,1,2003,Vintage Cars,33,S24_1937,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Not Provided,Frankfurt,Unknown,60528,Germany,EMEA,Keitel,Roland,Small,2003,1,2003-01,1689.03,2707.45,6,2,-81.00000000000003
10101,46,53.76,2,2472.96,2003-01-09,Shipped,1,1,2003,Vintage Cars,44,S24_2022,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Not Provided,Frankfurt,Unknown,60528,Germany,EMEA,Keitel,Roland,Small,2003,1,2003-01,1404.0,2668.3683333333333,6,2,448.9599999999999
10101,25,100.0,4,3782.0,2003-01-09,Shipped,1,1,2003,Vintage Cars,127,S18_2325,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Not Provided,Frankfurt,Unknown,60528,Germany,EMEA,Keitel,Roland,Medium,2003,1,2003-01,2472.96,2827.4585714285713,6,1,-675.0
10101,26,100.0,1,3773.38,2003-01-09,Shipped,1,1,2003,Vintage Cars,168,S18_2795,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Not Provided,Frankfurt,Unknown,60528,Germany,EMEA,Keitel,Roland,Medium,2003,1,2003-01,3782.0,2630.655714285714,6,1,-1768.0
10103,42,100.0,6,4460.82,2003-01-29,Shipped,1,1,2003,Classic Cars,101,S700_2824,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Not Provided,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2003,1,2003-01,2055.74,3251.0299999999997,0,1,-42.0
10103,25,100.0,15,2873.0,2003-01-29,Shipped,1,1,2003,Vintage Cars,97,S24_4258,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Not Provided,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Small,2003,1,2003-01,4460.82,3460.887142857143,6,2,75.0
10103,27,83.07,12,2242.89,2003-01-29,Shipped,1,1,2003,Vintage Cars,101,S18_2949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Not Provided,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Small,2003,1,2003-01,2873.0,3428.02,6,2,-484.1100000000002
10103,31,100.0,3,3224.31,2003-01-29,Shipped,1,1,2003,Trucks and Buses,96,S32_1268,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Not Provided,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2003,1,2003-01,2242.89,3348.35,5,1,124.0
10103,27,100.0,8,3394.98,2003-01-29,Shipped,1,1,2003,Trucks and Buses,136,S12_1666,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Not Provided,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2003,1,2003-01,3224.31,3294.292857142857,5,1,-972.0
10103,45,75.63,7,3403.35,2003-01-29,Shipped,1,1,2003,Trucks and Buses,64,S32_3522,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Not Provided,Stavern,Unknown,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2003,1,2003-01,3394.98,3093.584285714285,5,1,523.3499999999998
